2023-02-11 23:38:59,861,SubscriberAppln::driver
2023-02-11 23:38:59,862,**********************************
2023-02-11 23:38:59,862,SubscriberAppln::dump
2023-02-11 23:38:59,862,------------------------------
2023-02-11 23:38:59,862,     Name: sub2
2023-02-11 23:38:59,862,     Lookup: Centralized
2023-02-11 23:38:59,862,     Num Topics: 5
2023-02-11 23:38:59,862,     TopicList: ['light', 'temperature', 'weather', 'pressure', 'airquality']
2023-02-11 23:38:59,862,     Iterations: 1000
2023-02-11 23:38:59,862,     Frequency: 1
2023-02-11 23:38:59,862,**********************************
2023-02-11 23:38:59,862,SubscriberMW::event_loop - run the event loop
2023-02-11 23:38:59,864,SubscriberAppln::invoke_operation
2023-02-11 23:38:59,864,SubscriberMW::register
2023-02-11 23:38:59,865,SubscriberMW::register - sent register message and now now wait for reply
2023-02-11 23:38:59,919,SubscriberMW::handle_reply
2023-02-11 23:38:59,919,SubscriberAppln::register_response
2023-02-11 23:38:59,919,SubscriberAppln::invoke_operation
2023-02-11 23:38:59,919,SubscriberMW::is_ready
2023-02-11 23:38:59,919,SubscriberMW::is_ready - request sent and now wait for reply
2023-02-11 23:38:59,921,SubscriberMW::handle_reply
2023-02-11 23:38:59,921,SubscriberAppln::isready_response
2023-02-11 23:39:09,930,SubscriberAppln::invoke_operation
2023-02-11 23:39:09,930,SubscriberMW::is_ready
2023-02-11 23:39:09,931,SubscriberMW::is_ready - request sent and now wait for reply
2023-02-11 23:39:09,931,SubscriberMW::handle_reply
2023-02-11 23:39:09,931,SubscriberAppln::isready_response
2023-02-11 23:39:09,931,SubscriberAppln::invoke_operation
2023-02-11 23:39:09,931,SubscriberMW::lookup_publishers
2023-02-11 23:39:09,932,SubscriberMW::lookup_publishers - request sent and now wait for reply
2023-02-11 23:39:09,933,SubscriberMW::handle_reply
2023-02-11 23:39:09,933,SubscriberAppln::lookup_response
2023-02-11 23:39:09,933,SubscriberAppln::invoke_operation
2023-02-11 23:39:10,003,weather,icy
2023-02-11 23:39:10,906,temperature,-74
2023-02-11 23:39:10,907,weather,cloudy
2023-02-11 23:39:11,004,weather,foggy
2023-02-11 23:39:11,895,weather,rainy
2023-02-11 23:39:11,895,temperature,56
2023-02-11 23:39:11,896,light,1100
2023-02-11 23:39:11,907,temperature,-100
2023-02-11 23:39:11,908,weather,icy
2023-02-11 23:39:12,006,weather,foggy
2023-02-11 23:39:12,897,weather,icy
2023-02-11 23:39:12,897,temperature,-92
2023-02-11 23:39:12,898,light,1100
2023-02-11 23:39:12,910,temperature,2
2023-02-11 23:39:12,911,weather,rainy
2023-02-11 23:39:13,007,weather,sunny
2023-02-11 23:39:13,899,weather,foggy
2023-02-11 23:39:13,899,temperature,-1
2023-02-11 23:39:13,900,light,800
2023-02-11 23:39:13,912,temperature,6
2023-02-11 23:39:13,912,weather,icy
2023-02-11 23:39:14,008,weather,foggy
2023-02-11 23:39:14,901,weather,cloudy
2023-02-11 23:39:14,901,temperature,-7
2023-02-11 23:39:14,902,light,800
2023-02-11 23:39:14,913,temperature,62
2023-02-11 23:39:14,914,weather,cloudy
2023-02-11 23:39:15,010,weather,rainy
2023-02-11 23:39:15,903,weather,icy
2023-02-11 23:39:15,904,temperature,-64
2023-02-11 23:39:15,904,light,1100
2023-02-11 23:39:15,915,temperature,4
2023-02-11 23:39:15,916,weather,foggy
2023-02-11 23:39:16,011,weather,icy
2023-02-11 23:39:16,905,weather,sunny
2023-02-11 23:39:16,906,temperature,-21
2023-02-11 23:39:16,906,light,800
2023-02-11 23:39:16,918,temperature,20
2023-02-11 23:39:16,918,weather,cloudy
2023-02-11 23:39:17,012,weather,foggy
2023-02-11 23:39:17,907,weather,foggy
2023-02-11 23:39:17,908,temperature,-74
2023-02-11 23:39:17,908,light,1600
2023-02-11 23:39:17,919,temperature,-88
2023-02-11 23:39:17,920,weather,sunny
